slug,artigo,pagina,imagem_local,texto_alternativo,legenda,licenca,fonte,status
triangulo-mineiro,Triângulo Mineiro,artigo-triangulo-mineiro.html,,,,,,sem imagem local; consultar fonte manualmente
uberlandia,Uberlândia,artigo-uberlandia.html,img/wikipedia/uberlandia/image.jpg,"Praça Tubal Vilela, no centro de Uberlândia","Praça Tubal Vilela, ponto central de Uberlândia.",CC BY-SA,https://commons.wikimedia.org/wiki/File:Pra%C3%A7a_Tubal_Vilela.jpg,local e com legenda/crédito
uberaba,Uberaba,artigo-uberaba.html,img/wikipedia/uberaba/image3.jpg,Vista da cidade de Uberaba,Vista da cidade de Uberaba.,CC BY-SA,https://commons.wikimedia.org/wiki/File:City_of_Uberaba_-_Brazil.jpg,local e com legenda/crédito
uberaba,Uberaba,artigo-uberaba.html,img/wikipedia/uberaba/image1.jpg,"Fachada da Catedral de São Domingos, marco arquitetônico do centro de Uberaba","Catedral de São Domingos, no centro histórico de Uberaba.",CC BY-SA,https://commons.wikimedia.org/wiki/File:Catedral_S%C3%A3o_Domingos_em_Uberaba.jpg,local e com legenda/crédito
araxa,Araxá,artigo-araxa.html,img/wikipedia/araxa/image.jpg,"Vista do Barreiro, região turística e termal de Araxá","O Barreiro, região de águas termais de Araxá.",CC BY-SA,"https://commons.wikimedia.org/wiki/File:Barreiro,_Arax%C3%A1,_Minas_Gerais_(51920949360).jpg",local e com legenda/crédito
frutal,Frutal,artigo-frutal.html,img/wikipedia/frutal/image.jpg,Frutal,Frutal — imagem ilustrativa.,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3AFoto_panor%C3%A2mica_da_Igreja_Matriz_de_Frutal_em_2015.jpg,local e com legenda/crédito
ituiutaba,Ituiutaba,artigo-ituiutaba.html,,,,,,sem imagem local; consultar fonte manualmente
sacramento-mg,Sacramento (MG),artigo-sacramento-mg.html,,,,,,sem imagem local; consultar fonte manualmente
rio-paranaiba,Rio Paranaíba,artigo-rio-paranaiba.html,img/wikipedia/rio-paranaiba/image.jpg,Rio Paranaíba,Rio Paranaíba — imagem ilustrativa.,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3AMedioParanaiba-AraporaXItumbia-MGxGO.jpg,local e com legenda/crédito
peiropolis,Peirópolis,artigo-peiropolis.html,,,,,,sem imagem local; consultar fonte manualmente
zebu-e-a-expozebu,Zebu e a ExpoZebu,artigo-zebu-e-a-expozebu.html,,,,,,sem imagem local; consultar fonte manualmente
cerrado,Cerrado,artigo-cerrado.html,img/wikipedia/cerrado/image.jpg,"Vegetação típica do bioma cerrado, no Parque Nacional da Chapada dos Veadeiros","Vegetação de cerrado, Parque Nacional da Chapada dos Veadeiros (GO).",CC BY-SA,https://commons.wikimedia.org/wiki/File:Cerrado_-_Parque_Nacional_Chapada_dos_veadeiros.jpg,local e com legenda/crédito
pao-de-queijo,Pão de queijo,artigo-pao-de-queijo.html,,,,,,sem imagem local; consultar fonte manualmente
vicente-de-paula-vieira,Vicente de Paula Vieira (Barão da Rifaina),artigo-vicente-de-paula-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
campos-altos,Campos Altos,artigo-campos-altos.html,img/wikipedia/campos-altos/image.jpg,Campos Altos,Campos Altos — imagem ilustrativa.,Public domain,https://commons.wikimedia.org/wiki/File%3ACampos_Altosmgbandeira.jpg,local e com legenda/crédito
